,HTP,ATP,HM1_D,HM1_L,HM1_W,HM2_D,HM2_L,HM2_W,HM3_D,HM3_L,HM3_W,AM1_D,AM1_L,AM1_W,AM2_D,AM2_L,AM2_W,AM3_D,AM3_L,AM3_W,HTGD,ATGD,DiffFormPts
433,-0.19470369706255447,-0.5053029924905654,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,2.6161634742909374,-1.31304465607613,0.8181818181818182
434,-0.31858688495025533,-0.3959478142917006,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1.0732726992426025,-0.25006535485094616,-0.09090909090909093
435,-0.5508678622396943,-0.5365473291188125,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,-1.3004054162163752,-0.7225005998399168,-0.2727272727272727
436,-0.42698467435199344,-0.4896808241764419,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,-0.35093417003278415,-1.1949358448288876,-0.09090909090909093
437,-0.48892626829584385,-0.3959478142917006,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,-0.5883019815786819,0.4585875126325099,-0.18181818181818185
438,-0.5353824637537317,-0.22410396283634137,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,-1.8938249450811195,1.521566813857694,-0.8181818181818182
439,-0.4114992758660309,-0.5365473291188125,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,-0.23225026425983533,-1.667371089817858,0.3636363636363637
440,-0.543125162996713,-0.3009129570474489,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,-0.7564375147570261,1.1770827810532358,-0.6666666666666666
441,-0.4153706254875215,-0.5157177713666479,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0.3314982881616719,-1.0965118354561851,0.25
442,-0.5005403171603159,-0.5443584132758743,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,-1.1916118359245054,-1.8543767076259923,-0.08333333333333333
443,-0.4153706254875215,-0.18635038941054294,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,-0.5388503541732866,2.5845461150828775,-0.5
444,-0.4011756768753892,-0.24363167322899593,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0.6578790290372813,1.5018820119831533,-0.25
445,-0.21664134491766818,-0.4011552037297418,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1.5282276713722398,-0.2303805529764057,0.6666666666666666
446,-0.23083629352980056,-0.6302803390035538,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,2.507369893999068,-2.720507990105771,0.8333333333333334
447,-0.5147352657724482,-0.4011552037297418,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,-1.4091989965082448,-0.013847732356460828,0.0
448,-0.1882514476934034,-0.4011552037297418,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,2.6161634742909374,-0.013847732356460828,0.75
449,-0.24503124214193292,-0.2293113522743827,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1.5282276713722398,2.043214063533015,-0.25
450,-0.6282948546695073,-0.5245302765694867,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,-2.605928379718813,-1.5129211058791556,-0.3076923076923077
451,-0.4710585008120408,-0.5509677921780035,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,-1.199980572870034,-0.913291756470078,0.2307692307692308
452,-0.23520397002584129,-0.4187802141354196,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1.4110653541348415,0.2859669423480783,0.3076923076923077
453,-0.28761608797833005,-0.22049884707154374,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1.210215667442159,2.384669665279852,0.0
454,-0.5103675892764075,-0.4187802141354196,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,-0.9991308861773511,0.3859051672495913,-0.38461538461538464
